DyadID,N,Condition,block,Site,Color,auc,trials_c,Condition_new
56,1,Thermedol,2,2,1,-0.493121699,-3.5,1
56,2,Thermedol,2,3,1,-1.023449947,-2.5,1
56,3,Thermedol,2,3,1,0.636191432,-1.5,1
56,4,Thermedol,2,1,1,0.211746536,-0.5,1
56,5,Thermedol,2,4,1,-3.79354081,0.5,1
56,6,Thermedol,2,2,1,1.93999726,1.5,1
56,7,Thermedol,2,4,1,2.15456667,2.5,1
56,8,Thermedol,2,1,1,-0.338220539,3.5,1
57,1,Vaseline,1,4,0,2.814692721,-3.5,0
57,2,Vaseline,1,3,0,2.455800972,-2.5,0
57,3,Vaseline,1,2,0,-2.04743355,-1.5,0
57,4,Vaseline,1,4,0,-0.422335172,-0.5,0
57,5,Vaseline,1,1,0,-0.487179569,0.5,0
57,6,Vaseline,1,2,0,0.37869688,1.5,0
57,7,Vaseline,1,1,0,1.146297123,2.5,0
57,8,Vaseline,1,3,0,2.221117497,3.5,0
57,1,Thermedol,2,4,1,1.848389729,-3.5,1
57,2,Thermedol,2,3,1,-0.396121952,-2.5,1
57,3,Thermedol,2,2,1,0.522513525,-1.5,1
57,4,Thermedol,2,4,1,0.498523827,-0.5,1
57,5,Thermedol,2,1,1,0.680453835,0.5,1
57,6,Thermedol,2,2,1,-0.151845265,1.5,1
57,7,Thermedol,2,1,1,-1.196023176,2.5,1
57,8,Thermedol,2,3,1,0.441656327,3.5,1
58,1,Vaseline,1,2,0,10.39415484,-3.5,0
58,2,Vaseline,1,3,0,1.82593888,-2.5,0
58,3,Vaseline,1,3,0,-0.006535412,-1.5,0
58,4,Vaseline,1,2,0,-1.561489603,-0.5,0
58,5,Vaseline,1,1,0,0.77295488,0.5,0
58,6,Vaseline,1,4,0,-1.022958111,1.5,0
58,7,Vaseline,1,4,0,-0.074437391,2.5,0
58,8,Vaseline,1,1,0,0.411639468,3.5,0
58,1,Thermedol,2,3,1,1.007746057,-3.5,1
58,2,Thermedol,2,1,1,0.071449133,-2.5,1
58,3,Thermedol,2,4,1,-0.114038183,-1.5,1
58,4,Thermedol,2,1,1,-0.948382552,-0.5,1
58,5,Thermedol,2,4,1,-0.202689045,0.5,1
58,6,Thermedol,2,3,1,-0.393223397,1.5,1
58,7,Thermedol,2,2,1,-0.64841309,2.5,1
58,8,Thermedol,2,2,1,0.362044738,3.5,1
60,1,Vaseline,1,2,0,1.365790237,-3.5,0
60,2,Vaseline,1,2,0,0.004677024,-2.5,0
60,3,Vaseline,1,3,0,0.880598821,-1.5,0
60,4,Vaseline,1,1,0,0.466753344,-0.5,0
60,5,Vaseline,1,1,0,0.543838669,0.5,0
60,6,Vaseline,1,4,0,1.314037411,1.5,0
60,7,Vaseline,1,4,0,-0.156492343,2.5,0
60,8,Vaseline,1,3,0,-0.009294936,3.5,0
