Role,DyadID,Site,Current_Color,Current pain,Condition,Trials,Counterbalance,Temperature,Condition_new,Experimenter,Block,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2,8,2,1,46,Vaseline,7,2,0,0,1,1,-0.01098633,-0.003402238,-0.001297431,-0.004445886,-0.003867264,0.010321644,0.020758461,0.022910172,0.023165125,0.027306804,0.027650081,0.024228119,0.017812373,0.012914458,0.008564678,0.00557903
2,8,3,1,46,Vaseline,8,2,0,0,1,1,-0.009809744,-0.007775476,-0.006382007,-0.007800843,-0.010277597,-0.012959384,-0.016672671,-0.018757081,-0.019851513,-0.017903091,-0.016911788,-0.018389578,-0.021003903,-0.023641455,-0.027429067,-0.031124983
2,8,2,0,46,Thermedol,1,2,0,1,1,2,0.047979746,0.045606158,0.0415199,0.037048636,0.032339709,0.029246408,0.026380165,0.024088616,0.020556393,0.017578458,0.01481218,0.012648471,0.010053409,0.007602355,0.005907063,0.004709033
2,8,1,0,46,Thermedol,2,2,0,1,1,2,-0.006147566,-0.006780821,-0.007287628,-0.006877299,-0.007015656,-0.006643711,-0.005849566,-0.005926711,-0.006535902,-0.00709594,-0.007934989,-0.008754173,-0.009464312,-0.009647434,-0.010161377,-0.010530738
2,8,3,0,46,Thermedol,4,2,0,1,1,2,-0.013092785,-0.012605009,-0.012462902,-0.012319023,-0.011902333,-0.011113528,-0.010930207,-0.010597,-0.010385643,-0.008658245,-0.005826426,-0.004581812,-0.004643862,-0.004734942,-0.005307671,-0.006004167
2,8,4,0,46,Thermedol,5,2,0,1,1,2,-0.005612941,-0.005553182,-0.006140725,-0.006665429,-0.007184194,-0.007709957,-0.007454872,-0.007911726,-0.008122438,-0.01288957,-0.015842633,-0.013498734,-0.013195528,-0.013401777,-0.012594215,-0.01162039
2,8,1,0,46,Thermedol,3,2,0,1,1,2,-0.006011491,-0.005985527,-0.005497754,-0.005572047,-0.004776616,-0.004665244,-0.004313869,-0.003814271,-0.003535896,-0.003955038,-0.003949994,-0.003689203,-0.004005309,-0.004455702,-0.004292755,-0.004148996
2,8,4,0,46,Thermedol,6,2,0,1,1,2,-0.004920919,-0.00482591,-0.00538335,-0.005256883,-0.006148892,-0.006244985,-0.00647617,-0.006006498,-0.005825628,-0.00593992,-0.005719178,-0.004886643,-0.005225573,-0.005625263,-0.005468971,-0.00527732
2,8,2,0,46,Thermedol,7,2,0,1,1,2,-0.007410987,-0.007347848,-0.007407203,-0.007839612,-0.007572857,-0.01345218,-0.012729972,-0.006161025,-0.0027976,-0.005922792,-0.005408262,-0.004735202,-0.004595281,-0.004336916,-0.004633918,-0.004765268
2,8,3,0,46,Thermedol,8,2,0,1,1,2,-0.000400388,0.000739242,0.000337398,0.001446085,0.001583079,0.001409332,0.000867846,0.000833514,0.001031841,0.001180751,0.001571801,0.001600928,0.001794376,0.001821023,0.002304266,0.001920013
2,9,2,0,46,Vaseline,1,2,0,0,1,1,0.179183924,0.067097922,-0.036021679,-0.129842009,-0.2067794,-0.258554692,-0.293412071,-0.321968338,0.038786613,0.82437655,1.191820768,1.176949719,1.049463186,0.911164373,0.874393828,0.776473782
